MolClin	RefNo	InvNo	OrderNo	Prefix	Gene	Suffix
C	7549	1	2		ETV6	+
C	7549	1	3		RUNX1	+
C	7556	1	1		KMT2A/MLLT10	
C	7556	1	2		KMT2A	+
C	7556	1	3		MLLT10	+
C	7556	1	4		PICALM/MLLT10	
C	7556	1	5		PICALM	+
C	7556	1	6		MLLT10	+
C	7565	1	1		EWSR1/FLI1	
C	7565	1	2		EWSR1	+
C	7565	1	3		FLI1	+
C	7617	1	1		EWSR1/ERG	
C	7617	1	2		EWSR1	+
C	7617	1	3		ERG	+
C	7617	1	4		EWSR1/FLI1	
C	7617	1	5		EWSR1	+
C	7617	1	6		FLI1	+
C	7649	1	1		KMT2A/AFF1	
C	7649	1	2		KMT2A	+
C	7649	1	3		AFF1	+
C	7685	1	1		KMT2A/AFF1	
C	7685	1	2		KMT2A	+
C	7685	1	3		AFF1	+
C	7765	1	1		BCR/ABL1	
C	7765	1	2		BCR	+
C	7765	1	3		ABL1	+
C	7783	1	1		BCR/ABL1	
C	7783	1	2		BCR	+
C	7783	1	3		ABL1	+
C	7786	1	1		ETV6/RUNX1	
C	7786	1	2		ETV6	+
C	7786	1	3		RUNX1	+
C	7790	1	1		PML/RARA	
C	7790	1	2		PML	+
C	7790	1	3		RARA	+
C	7858	1	1		ETV6/RUNX1	
C	7858	1	2		ETV6	+
C	7858	1	3		RUNX1	+
C	7866	1	1		ETV6/RUNX1	
C	7866	1	2		ETV6	+
C	7866	1	3		RUNX1	+
C	7867	1	1		ETV6/RUNX1	
C	7867	1	2		ETV6	+
C	7867	1	3		RUNX1	+
C	7894	1	1		ETV6/RUNX1	
C	7894	1	2		ETV6	+
C	7894	1	3		RUNX1	+
C	8007	1	1		EWSR1/FLI1	
C	8007	1	2		EWSR1	+
C	8007	1	3		FLI1	+
C	8076	1	1		NPM1/ALK	
C	8076	1	2		NPM1	+
C	8076	1	3		ALK	+
C	8079	1	1		KMT2A	+
C	8129	1	1		SS18/SSX1	
C	8129	1	2		SS18	+
C	8129	1	3		SSX1	+
C	8129	1	4		SS18/SSX2	
C	8129	1	5		SS18	+
C	8129	1	6		SSX2	+
C	8173	1	1		ETV6/RUNX1	
C	8173	1	2		ETV6	+
C	8173	1	3		RUNX1	+
C	8211	1	1		ETV6/RUNX1	
C	8211	1	2		ETV6	+
C	8211	1	3		RUNX1	+
C	8226	1	1		MYC	+
C	8226	1	2		BCL2	+
C	8322	1	1		BCR/ABL1	
C	8322	1	2		BCR	+
C	8322	1	3		ABL1	+
C	8341	1	1		ETV6/RUNX1	
C	8341	1	2		ETV6	+
C	8341	1	3		RUNX1	+
C	8368	1	1		KMT2A/MLLT1	
C	8368	1	2		KMT2A	+
C	8368	1	3		MLLT1	+
C	8368	2	1		KMT2A/MLLT1	
C	8368	2	2		KMT2A	+
C	8368	2	3		MLLT1	+
C	8385	1	1		KMT2A	+
C	8419	1	1		BCR/ABL1	
C	8419	1	2		BCR	+
C	8419	1	3		ABL1	+
C	8447	1	1		KMT2A	+
C	8452	1	1		BCR/ABL1	
C	8452	1	2		BCR	+
C	8452	1	3		ABL1	+
C	8493	1	1		EWSR1/ERG	
C	8493	1	2		EWSR1	+
C	8493	1	3		ERG	+
C	8493	1	4		EWSR1/FLI1	
C	8493	1	5		EWSR1	+
C	8493	1	6		FLI1	+
C	8532	1	1		KMT2A	+
C	8533	1	1		ETV6/RUNX1	
