MolClin	RefNo	InvNo	OrderNo	Prefix	Gene	Suffix
M	14544	12	2		FGFR3	+
M	14544	12	3		TACC3	+
M	14544	13	1		FGFR3/TACC3	
M	14544	13	2		FGFR3	+
M	14544	13	3		TACC3	+
M	14544	14	1		ERLIN2/FGFR1	
M	14544	14	2		ERLIN2	+
M	14544	14	3		FGFR1	+
M	14544	15	1		BAG4/FGFR1	
M	14544	15	2		BAG4	+
M	14544	15	3		FGFR1	+
M	14546	1	1		RUNX1/USP42	
M	14546	1	2		RUNX1	+
M	14546	1	3		USP42	+
M	14550	1	1		SERPINE1/FOSB	
M	14550	1	2		SERPINE1	+
M	14550	1	3		FOSB	+
M	14550	2	1		SERPINE1/FOSB	
M	14550	2	2		SERPINE1	+
M	14550	2	3		FOSB	+
M	14554	1	1		CBFA2T3/GLIS2	
M	14554	1	2		CBFA2T3	+
M	14554	1	3		GLIS2	+
M	14554	2	1		KMT2A/MLLT3	
M	14554	2	2		KMT2A	+
M	14554	2	3		MLLT3	+
M	14554	3	1		NUP98/KDM5A	
M	14554	3	2		NUP98	+
M	14554	3	3		KDM5A	+
M	14554	4	1		THRAP3/SH3BP2	
M	14554	4	2		THRAP3	+
M	14554	4	3		SH3BP2	+
M	14560	1	1		RANBP2/ALK	
M	14560	1	2		RANBP2	+
M	14560	1	3		ALK	+
M	14561	1	1		FGFR3/TACC3	
M	14561	1	2		FGFR3	+
M	14561	1	3		TACC3	+
M	14565	1	1		ETV6/NTRK3	
M	14565	1	2		ETV6	+
M	14565	1	3		NTRK3	+
M	14566	1	1		YWHAE/NUTM2A	
M	14566	1	2		YWHAE	+
M	14566	1	3		NUTM2A	+
M	14566	2	1		YWHAE/NUTM2B	
M	14566	2	2		YWHAE	+
M	14566	2	3		NUTM2B	+
M	14573	1	1		SQSTM1/NUP214	
M	14573	1	2		SQSTM1	+
M	14573	1	3		NUP214	+
M	14577	1	1		MEF2D/CSF1R	
M	14577	1	2		MEF2D	+
M	14577	1	3		CSF1R	+
M	14578	1	1		RANBP2/ALK	
M	14578	1	2		RANBP2	+
M	14578	1	3		ALK	+
M	14578	2	1		RANBP2/ALK	
M	14578	2	2		RANBP2	+
M	14578	2	3		ALK	+
M	14578	3	1		RANBP2/ALK	
M	14578	3	2		RANBP2	+
M	14578	3	3		ALK	+
M	14583	1	1		COL3A1/PLAG1	
M	14583	1	2		COL3A1	+
M	14583	1	3		PLAG1	+
M	14583	2	1		RAB2A/PLAG1	
M	14583	2	2		RAB2A	+
M	14583	2	3		PLAG1	+
M	14585	1	1		MEAF6/PHF1	
M	14585	1	2		MEAF6	+
M	14585	1	3		PHF1	+
M	14586	1	1		NUP98/HOXA9	
M	14586	1	2		NUP98	+
M	14586	1	3		HOXA9	+
M	14589	1	1		YAP1/MAML2	
M	14589	1	2		YAP1	+
M	14589	1	3		MAML2	+
M	14589	2	1		HACD2/RSRC1	
M	14589	2	2		HACD2	+
M	14589	2	3		RSRC1	+
M	14589	3	1		SP3/PTK2	
M	14589	3	2		SP3	+
M	14589	3	3		PTK2	+
M	14589	4	1		GLYAT/NLRC5	
M	14589	4	2		GLYAT	+
M	14589	4	3		NLRC5	+
M	14590	1	1		IGH/CEBPG	
M	14590	1	2		IGH	+
M	14590	1	3		CEBPG	+
M	14590	2	1		IGH/IGF2BP1	
M	14590	2	2		IGH	+
M	14590	2	3		IGF2BP1	+
M	14591	1	1		TPM3/NTRK1	
M	14591	1	2		TPM3	+
M	14591	1	3		NTRK1	+
M	14591	2	1		BTBD1/NTRK3	
M	14591	2	2		BTBD1	+
M	14591	2	3		NTRK3	+
M	14591	3	1		ETV6/NTRK3	
M	14591	3	2		ETV6	+
M	14591	3	3		NTRK3	+
M	14591	4	1		VCL/NTRK2	
M	14591	4	2		VCL	+
M	14591	4	3		NTRK2	+
M	14591	5	1		AGBL4/NTRK2	
M	14591	5	2		AGBL4	+
M	14591	5	3		NTRK2	+
M	14592	1	1		FGFR1/TACC1	
M	14592	1	2		FGFR1	+
M	14592	1	3		TACC1	+
M	14595	1	1		COL12A1/GRM1	
M	14595	1	2		COL12A1	+
M	14595	1	3		GRM1	+
M	14595	2	1		BCLAF1/GRM1	
M	14595	2	2		BCLAF1	+
M	14595	2	3		GRM1	+
M	14595	3	1		MEF2A/GRM1	
M	14595	3	2		MEF2A	+
M	14595	3	3		GRM1	+
M	14595	4	1		TBL1XR1/GRM1	
M	14595	4	2		TBL1XR1	+
M	14595	4	3		GRM1	+
M	14604	1	1		PAX3/MAML3	
M	14604	1	2		PAX3	+
M	14604	1	3		MAML3	+
M	14606	1	1		VCL/ALK	
M	14606	1	2		VCL	+
M	14606	1	3		ALK	+
M	14607	1	1		EWSR1/CREB3L1	
M	14607	1	2		EWSR1	+
M	14607	1	3		CREB3L1	+
M	14611	1	1		FIP1L1/PDGFRA	
M	14611	1	2		FIP1L1	+
M	14611	1	3		PDGFRA	+
M	14612	1	1		PML/RARA	
M	14612	1	2		PML	+
M	14612	1	3		RARA	+
M	14614	1	1		BCR/JAK2	
M	14614	1	2		BCR	+
M	14614	1	3		JAK2	+
M	14621	1	1		PDPN/PRKCB	
M	14621	1	2		PDPN	+
M	14621	1	3		PRKCB	+
M	14621	3	1		LAMTOR1/PRKCD	
M	14621	3	2		LAMTOR1	+
M	14621	3	3		PRKCD	+
M	14621	4	1		RDH5/PRKCD	
M	14621	4	2		RDH5	+
M	14621	4	3		PRKCD	+
M	14623	1	1		TRIM33/RET	
M	14623	1	2		TRIM33	+
M	14623	1	3		RET	+
M	14623	2	1		EZR/ROS1	
M	14623	2	2		EZR	+
M	14623	2	3		ROS1	+
M	14623	3	1		CLTC/ROS1	
M	14623	3	2		CLTC	+
M	14623	3	3		ROS1	+
M	14626	1	1		ATF7IP/PDGFRB	
M	14626	1	2		ATF7IP	+
M	14626	1	3		PDGFRB	+
M	14627	1	1		TRA/IRF4	
M	14627	1	2		TRA	+
M	14627	1	3		IRF4	+
M	14629	1	1		PAX3/FOXO1	
M	14629	1	2		PAX3	+
M	14629	1	3		FOXO1	+
M	14630	1	1		EBF1/PDGFRB	
M	14630	1	2		EBF1	+
M	14630	1	3		PDGFRB	+
M	14636	1	1		KMT2A/KNL1	
M	14636	1	2		KMT2A	+
M	14636	1	3		KNL1	+
M	14636	2	1		KMT2A/KNL1	
M	14636	2	2		KMT2A	+
M	14636	2	3		KNL1	+
M	14637	1	1		KMT2A/TET1	
M	14637	1	2		KMT2A	+
M	14637	1	3		TET1	+
M	14638	1	1		DHH/RHEBL1	
M	14638	1	2		DHH	+
M	14638	1	3		RHEBL1	+
M	14640	1	1		COL27A1/ZNF618	
M	14640	1	2		COL27A1	+
M	14640	1	3		ZNF618	+
M	14640	2	1		RHOA/COL7A1	
M	14640	2	2		RHOA	+
M	14640	2	3		COL7A1	+
M	14645	1	1		PPFIBP1/ALK	
M	14645	1	2		PPFIBP1	+
M	14645	1	3		ALK	+
M	14652	1	1		NUP214/ABL1	
M	14652	1	2		NUP214	+
M	14652	1	3		ABL1	+
M	14652	2	1		KMT2A/FOXO4	
M	14652	2	2		KMT2A	+
M	14652	2	3		FOXO4	+
M	14652	3	1		ETV6/NCOA2	
M	14652	3	2		ETV6	+
M	14652	3	3		NCOA2	+
M	14652	4	1		NUP98/PSIP1	
M	14652	4	2		NUP98	+
M	14652	4	3		PSIP1	+
M	14652	5	1		TPM3/JAK2	
M	14652	5	2		TPM3	+
M	14652	5	3		JAK2	+
M	14652	6	1		SSBP2/FER	
M	14652	6	2		SSBP2	+
M	14652	6	3		FER	+
M	14652	7	1		DDX3X/MLLT10	
M	14652	7	2		DDX3X	+
M	14652	7	3		MLLT10	+
M	14652	8	1		KANSL1/ARL17A	
M	14652	8	2		KANSL1	+
M	14652	8	3		ARL17A	+
M	14652	9	1		KCNK17/KIF6	
M	14652	9	2		KCNK17	+
M	14652	9	3		KIF6	+
M	14652	11	1		DPY19L1/HOXA11	
M	14652	11	2		DPY19L1	+
M	14652	11	3		HOXA11	+
M	14652	14	1		STAT5B/STAT3	
M	14652	14	2		STAT5B	+
M	14652	14	3		STAT3	+
M	14652	16	1		PAGE2B/ALAS2	
M	14652	16	2		PAGE2B	+
M	14652	16	3		ALAS2	+
M	14652	17	1		CTSC/RAB38	
M	14652	17	2		CTSC	+
M	14652	17	3		RAB38	+
M	14652	18	1		GREB1/E2F6	
M	14652	18	2		GREB1	+
M	14652	18	3		E2F6	+
M	14652	19	1		CLINT1/MEF2C	
M	14652	19	2		CLINT1	+
M	14652	19	3		MEF2C	+
M	14652	20	1		MGAT5/GPR39	
M	14652	20	2		MGAT5	+
M	14652	20	3		GPR39	+
M	14652	21	1		PCMTD1/PRKAR1B	
M	14652	21	2		PCMTD1	+
M	14652	21	3		PRKAR1B	+
M	14652	22	1		L3MBTL3/PTPRK	
M	14652	22	2		L3MBTL3	+
M	14652	22	3		PTPRK	+
M	14652	24	1		EEF1G/OOEP	
M	14652	24	2		EEF1G	+
M	14652	24	3		OOEP	+
M	14652	25	1		SGCA/PPP1R9B	
M	14652	25	2		SGCA	+
M	14652	25	3		PPP1R9B	+
M	14652	27	1		ZNF219/HNRNPC	
M	14652	27	2		ZNF219	+
M	14652	27	3		HNRNPC	+
M	14652	28	1		HNRNPC/ZNF219	
M	14652	28	2		HNRNPC	+
M	14652	28	3		ZNF219	+
M	14652	29	1		B4GALT3/TPM3	
M	14652	29	2		B4GALT3	+
M	14652	29	3		TPM3	+
M	14652	30	1		JAK2/TPM3	
M	14652	30	2		JAK2	+
M	14652	30	3		TPM3	+
M	14652	31	1		MGAT4A/CXCR4	
M	14652	31	2		MGAT4A	+
M	14652	31	3		CXCR4	+
M	14652	32	1		ASCC1/MAFG	
M	14652	32	2		ASCC1	+
M	14652	32	3		MAFG	+
M	14652	33	1		ZEB1/BMI1	
M	14652	33	2		ZEB1	+
M	14652	33	3		BMI1	+
M	14652	34	1		MYB/AHI1	
M	14652	34	2		MYB	+
M	14652	34	3		AHI1	+
M	14652	35	1		RIC3/TRB	
M	14652	35	2		RIC3	+
M	14652	35	3		TRB	+
M	14652	36	1		GUK1/ARF1	
M	14652	36	2		GUK1	+
M	14652	36	3		ARF1	+
M	14652	37	1		FUS/SET	
M	14652	37	2		FUS	+
M	14652	37	3		SET	+
M	14652	38	1		OAZ1/RNF126	
M	14652	38	2		OAZ1	+
M	14652	38	3		RNF126	+
M	14652	39	1		PSIP1/NUP98	
M	14652	39	2		PSIP1	+
M	14652	39	3		NUP98	+
M	14652	40	1		IKZF1/ABCA13	
M	14652	40	2		IKZF1	+
M	14652	40	3		ABCA13	+
M	14652	42	1		MLLT10/DDX3X	
M	14652	42	2		MLLT10	+
M	14652	42	3		DDX3X	+
M	14657	1	1		PAPSS1/BRAF	
M	14657	1	2		PAPSS1	+
M	14657	1	3		BRAF	+
M	14657	2	1		CDC27/BRAF	
M	14657	2	2		CDC27	+
M	14657	2	3		BRAF	+
M	14657	3	1		TAX1BP1/BRAF	
M	14657	3	2		TAX1BP1	+
M	14657	3	3		BRAF	+
M	14670	1	1		RANBP2/ALK	
M	14670	1	2		RANBP2	+
M	14670	1	3		ALK	+
M	14676	1	1		MON2/MARS1	
M	14676	1	2		MON2	+
M	14676	1	3		MARS1	+
M	14676	2	1		YEATS4/SLC35E3	
M	14676	2	2		YEATS4	+
M	14676	2	3		SLC35E3	+
M	14676	3	1		PIK3C2B/DSTYK	
M	14676	3	2		PIK3C2B	+
M	14676	3	3		DSTYK	+
M	14676	4	1		PLEKHA6/PIK3C2B	
M	14676	4	2		PLEKHA6	+
M	14676	4	3		PIK3C2B	+
M	14676	5	1		CREB1/PARD3B	
M	14676	5	2		CREB1	+
M	14676	5	3		PARD3B	+
M	14676	6	1		SCFD2/CLOCK	
M	14676	6	2		SCFD2	+
M	14676	6	3		CLOCK	+
M	14676	7	1		FGFR3/TACC3	
M	14676	7	2		FGFR3	+
M	14676	7	3		TACC3	+
M	14676	8	1		LHPP/FANK1	
M	14676	8	2		LHPP	+
M	14676	8	3		FANK1	+
M	14676	9	1		ARID1A/RNF31	
M	14676	9	2		ARID1A	+
M	14676	9	3		RNF31	+
M	14676	10	1		DNAH8/TMEM217	
M	14676	10	2		DNAH8	+
M	14676	10	3		TMEM217	+
M	14676	11	1		FRS2/KIF5A	
M	14676	11	2		FRS2	+
M	14676	11	3		KIF5A	+
M	14676	12	1		GNB3/METAP2	
M	14676	12	2		GNB3	+
M	14676	12	3		METAP2	+
M	14676	13	1		MPHOSPH9/C6ORF89	
M	14676	13	2		MPHOSPH9	+
M	14676	13	3		C6ORF89	+
M	14676	14	1		MPHOSPH9/CRACR2A	
M	14676	14	2		MPHOSPH9	+
M	14676	14	3		CRACR2A	+
M	14676	15	1		NAA15/LPAR1	
M	14676	15	2		NAA15	+
M	14676	15	3		LPAR1	+
M	14676	16	1		ZFAND3/DNAH8	
M	14676	16	2		ZFAND3	+
M	14676	16	3		DNAH8	+
M	14676	17	1		TET1/CCAR1	
M	14676	17	2		TET1	+
M	14676	17	3		CCAR1	+
M	14676	18	1		SRCAP/RPS4Y1	
M	14676	18	2		SRCAP	+
M	14676	18	3		RPS4Y1	+
M	14676	19	1		YEATS4/ATP23	
M	14676	19	2		YEATS4	+
M	14676	19	3		ATP23	+
M	14676	20	1		GIGYF2/ECEL1	
M	14676	20	2		GIGYF2	+
M	14676	20	3		ECEL1	+
M	14676	21	1		TIGAR/TSPAN9	
M	14676	21	2		TIGAR	+
M	14676	21	3		TSPAN9	+
M	14676	22	1		NFASC/SOX13	
M	14676	22	2		NFASC	+
M	14676	22	3		SOX13	+
M	14676	23	1		RBMS2/LITAF	
M	14676	23	2		RBMS2	+
M	14676	23	3		LITAF	+
M	14676	24	1		EML4/CASK	
M	14676	24	2		EML4	+
M	14676	24	3		CASK	+
M	14676	25	1		MEIS2/ZNF143	
M	14676	25	2		MEIS2	+
M	14676	25	3		ZNF143	+
M	14676	26	1		OS9/C12ORF66	
M	14676	26	2		OS9	+
M	14676	26	3		C12ORF66	+
M	14676	27	1		R3HDM2/PIP4K2C	
M	14676	27	2		R3HDM2	+
M	14676	27	3		PIP4K2C	+
M	14676	28	1		AGAP2/TMEM67	
M	14676	28	2		AGAP2	+
M	14676	28	3		TMEM67	+
M	14676	29	1		SRRT/PPP1R17	
M	14676	29	2		SRRT	+
M	14676	29	3		PPP1R17	+
M	14676	30	1		ST7/CAV1	
M	14676	30	2		ST7	+
M	14676	30	3		CAV1	+
M	14676	31	1		HMGA2/NUP107	
M	14676	31	2		HMGA2	+
M	14676	31	3		NUP107	+
M	14676	32	1		COA1/HECW1	
M	14676	32	2		COA1	+
M	14676	32	3		HECW1	+
M	14676	33	1		NFASC/PRELP	
M	14676	33	2		NFASC	+
M	14676	33	3		PRELP	+
M	14676	34	1		LANCL2/SEPTIN14	
M	14676	34	2		LANCL2	+
M	14676	34	3		SEPTIN14	+
M	14676	35	1		SEC61G/EGFR	
M	14676	35	2		SEC61G	+
M	14676	35	3		EGFR	+
M	14676	36	1		YEATS2/SEC62	
M	14676	36	2		YEATS2	+
M	14676	36	3		SEC62	+
M	14676	37	1		DCTD/ECE2	
M	14676	37	2		DCTD	+
M	14676	37	3		ECE2	+
M	14676	38	1		HSP90AB1/PTCHD4	
M	14676	38	2		HSP90AB1	+
M	14676	38	3		PTCHD4	+
M	14676	39	1		MRPL50/ERP44	
M	14676	39	2		MRPL50	+
M	14676	39	3		ERP44	+
M	14676	40	1		RMI1/STX17	
M	14676	40	2		RMI1	+
M	14676	40	3		STX17	+
M	14676	41	1		EBF4/TMC2	
M	14676	41	2		EBF4	+
M	14676	41	3		TMC2	+
M	14676	42	1		DIP2B/TMBIM6	
M	14676	42	2		DIP2B	+
M	14676	42	3		TMBIM6	+
M	14676	43	1		MGAT1/FLT4	
M	14676	43	2		MGAT1	+
M	14676	43	3		FLT4	+
M	14676	44	1		EIF4H/GTF2I	
M	14676	44	2		EIF4H	+
M	14676	44	3		GTF2I	+
M	14676	45	1		HOPX/PDCL2	
M	14676	45	2		HOPX	+
M	14676	45	3		PDCL2	+
M	14676	46	1		ICE2/ALDH1A2	
M	14676	46	2		ICE2	+
M	14676	46	3		ALDH1A2	+
M	14676	47	1		RAB9A/EXOC2	
M	14676	47	2		RAB9A	+
M	14676	47	3		EXOC2	+
M	14676	48	1		SSR1/DMD	
M	14676	48	2		SSR1	+
M	14676	48	3		DMD	+
M	14676	49	1		WDR59/ASB9	
M	14676	49	2		WDR59	+
M	14676	49	3		ASB9	+
M	14676	50	1		NFASC/NTRK1	
M	14676	50	2		NFASC	+
M	14676	50	3		NTRK1	+
M	14676	51	1		AKAP6/EGLN3	
M	14676	51	2		AKAP6	+
M	14676	51	3		EGLN3	+
M	14676	52	1		CHD7/TOX	
M	14676	52	2		CHD7	+
M	14676	52	3		TOX	+
M	14676	53	1		CARD8/SULT2B1	
M	14676	53	2		CARD8	+
M	14676	53	3		SULT2B1	+
M	14676	54	1		RYR3/DAB1	
M	14676	54	2		RYR3	+
M	14676	54	3		DAB1	+
M	14676	55	1		UBXN7/RPL39L	
M	14676	55	2		UBXN7	+
M	14676	55	3		RPL39L	+
M	14676	56	1		CEP85L/ROS1	
M	14676	56	2		CEP85L	+
M	14676	56	3		ROS1	+
M	14676	57	1		C12ORF49/MDM2	
M	14676	57	2		C12ORF49	+
M	14676	57	3		MDM2	+
M	14676	58	1		KDM2B/CCDC60	
M	14676	58	2		KDM2B	+
M	14676	58	3		CCDC60	+
M	14676	59	1		KDM2B/KSR2	
M	14676	59	2		KDM2B	+
M	14676	59	3		KSR2	+
M	14676	60	1		SETD1B/KDM2B	
M	14676	60	2		SETD1B	+
M	14676	60	3		KDM2B	+
M	14676	61	1		TMEM120B/AVIL	
M	14676	61	2		TMEM120B	+
M	14676	61	3		AVIL	+
M	14676	62	1		TMEM120B/RNFT2	
M	14676	62	2		TMEM120B	+
M	14676	62	3		RNFT2	+
M	14676	63	1		TSFM/IFNG	
M	14676	63	2		TSFM	+
M	14676	63	3		IFNG	+
M	14676	64	1		VASN/RBFOX1	
M	14676	64	2		VASN	+
M	14676	64	3		RBFOX1	+
M	14676	65	1		ATP23/SRRM4	
M	14676	65	2		ATP23	+
M	14676	65	3		SRRM4	+
M	14676	67	1		MED4/HTR2A	
M	14676	67	2		MED4	+
M	14676	67	3		HTR2A	+
M	14676	68	1		NFASC/RTN3	
M	14676	68	2		NFASC	+
M	14676	68	3		RTN3	+
M	14676	69	1		NFX1/C9ORF24	
M	14676	69	2		NFX1	+
M	14676	69	3		C9ORF24	+
M	14676	70	1		IQGAP1/AKAP13	
M	14676	70	2		IQGAP1	+
M	14676	70	3		AKAP13	+
M	14676	71	1		SLIT1/SFRP5	
M	14676	71	2		SLIT1	+
M	14676	71	3		SFRP5	+
M	14676	72	1		WDR20/GET3	
M	14676	72	2		WDR20	+
M	14676	72	3		GET3	+
M	14676	73	1		PUM2/LDAH	
M	14676	73	2		PUM2	+
M	14676	73	3		LDAH	+
M	14676	74	1		LANCL2/PSPH	
M	14676	74	2		LANCL2	+
M	14676	74	3		PSPH	+
M	14676	75	1		FKBP8/SLC1A6	
M	14676	75	2		FKBP8	+
M	14676	75	3		SLC1A6	+
M	14676	76	1		ADAMTS17/LPAR1	
M	14676	76	2		ADAMTS17	+
M	14676	76	3		LPAR1	+
M	14676	78	1		XRN1/SMYD3	
M	14676	78	2		XRN1	+
M	14676	78	3		SMYD3	+
M	14676	79	1		ARIH2/CAMP	
M	14676	79	2		ARIH2	+
M	14676	79	3		CAMP	+
M	14676	80	1		CEP85L/SYTL3	
M	14676	80	2		CEP85L	+
M	14676	80	3		SYTL3	+
M	14676	81	1		PRKAR2A/SPINK8	
M	14676	81	2		PRKAR2A	+
M	14676	81	3		SPINK8	+
M	14676	82	1		ADGRB2/HS3ST4	
M	14676	82	2		ADGRB2	+
M	14676	82	3		HS3ST4	+
M	14676	83	1		KIF1B/UBE4B	
M	14676	83	2		KIF1B	+
M	14676	83	3		UBE4B	+
M	14676	84	1		THRA/GSDMA	
M	14676	84	2		THRA	+
M	14676	84	3		GSDMA	+
M	14676	85	1		CHIC2/ADGRL3	
M	14676	85	2		CHIC2	+
M	14676	85	3		ADGRL3	+
M	14676	86	1		NFIA/RNLS	
M	14676	86	2		NFIA	+
M	14676	86	3		RNLS	+
M	14676	87	1		LSAMP/CELSR1	
M	14676	87	2		LSAMP	+
M	14676	87	3		CELSR1	+
M	14676	88	1		RIPK1/SERPINB9	
M	14676	88	2		RIPK1	+
M	14676	88	3		SERPINB9	+
M	14676	89	1		BCAN/NTRK1	
M	14676	89	2		BCAN	+
M	14676	89	3		NTRK1	+
M	14676	90	1		GATAD2B/TNFSF18	
M	14676	90	2		GATAD2B	+
M	14676	90	3		TNFSF18	+
M	14676	91	1		NUCKS1/PM20D1	
M	14676	91	2		NUCKS1	+
M	14676	91	3		PM20D1	+
M	14676	92	1		GALNT17/PPP1R9A	
M	14676	92	2		GALNT17	+
M	14676	92	3		PPP1R9A	+
M	14676	93	1		EGFR/PPM1H	
M	14676	93	2		EGFR	+
M	14676	93	3		PPM1H	+
M	14676	94	1		HOXC9/PYM1	
M	14676	94	2		HOXC9	+
M	14676	94	3		PYM1	+
M	14676	95	1		PPM1H/IL26	
M	14676	95	2		PPM1H	+
M	14676	95	3		IL26	+
M	14676	96	1		PPM1H/MDM2	
M	14676	96	2		PPM1H	+
M	14676	96	3		MDM2	+
M	14676	97	1		PPM1H/RAP1B	
M	14676	97	2		PPM1H	+
M	14676	97	3		RAP1B	+
M	14676	98	1		PPM1H/SV2C	
M	14676	98	2		PPM1H	+
M	14676	98	3		SV2C	+
M	14676	99	1		RBFOX2/LGALS2	
M	14676	99	2		RBFOX2	+
M	14676	99	3		LGALS2	+
M	14676	100	1		TAF1B/NHEJ1	
M	14676	100	2		TAF1B	+
M	14676	100	3		NHEJ1	+
M	14676	101	1		PATL1/TECTA	
M	14676	101	2		PATL1	+
M	14676	101	3		TECTA	+
M	14676	102	1		LNX1/USP46	
M	14676	102	2		LNX1	+
M	14676	102	3		USP46	+
M	14676	103	1		CNN3/ALG14	
M	14676	103	2		CNN3	+
M	14676	103	3		ALG14	+
M	14676	104	1		APC/KRT6A	
M	14676	104	2		APC	+
M	14676	104	3		KRT6A	+
M	14676	105	1		PIGG/SPINK2	
M	14676	105	2		PIGG	+
M	14676	105	3		SPINK2	+
M	14676	106	1		FREM2/MTRF1	
M	14676	106	2		FREM2	+
M	14676	106	3		MTRF1	+
M	14676	108	1		SMIM13/TTLL5	
M	14676	108	2		SMIM13	+
M	14676	108	3		TTLL5	+
M	14676	109	1		NAA30/TERT	
M	14676	109	2		NAA30	+
M	14676	109	3		TERT	+
M	14676	110	1		RAI1/MXRA7	
M	14676	110	2		RAI1	+
M	14676	110	3		MXRA7	+
M	14676	112	1		EGFR/SEPTIN14	
M	14676	112	2		EGFR	+
M	14676	112	3		SEPTIN14	+
M	14676	114	1		OTUD7A/ASCC3	
M	14676	114	2		OTUD7A	+
M	14676	114	3		ASCC3	+
M	14676	116	1		SP4/GPNMB	
M	14676	116	2		SP4	+
M	14676	116	3		GPNMB	+
M	14676	117	1		VAV2/NOTCH1	
M	14676	117	2		VAV2	+
M	14676	117	3		NOTCH1	+
M	14676	118	1		DGKD/SPP2	
M	14676	118	2		DGKD	+
M	14676	118	3		SPP2	+
M	14676	119	1		GIGYF2/PPP1R7	
M	14676	119	2		GIGYF2	+
M	14676	119	3		PPP1R7	+
M	14676	120	1		NBPF3/EPHB2	
M	14676	120	2		NBPF3	+
M	14676	120	3		EPHB2	+
M	14676	121	1		ARID1A/BEND5	
M	14676	121	2		ARID1A	+
M	14676	121	3		BEND5	+
M	14676	122	1		SPRED2/G2E3	
M	14676	122	2		SPRED2	+
M	14676	122	3		G2E3	+
M	14676	123	1		AFAP1/KAT6B	
M	14676	123	2		AFAP1	+
M	14676	123	3		KAT6B	+
M	14676	124	1		PHF3/EYS	
M	14676	124	2		PHF3	+
M	14676	124	3		EYS	+
M	14676	125	1		TBC1D14/HTRA3	
M	14676	125	2		TBC1D14	+
M	14676	125	3		HTRA3	+
M	14676	126	1		TSFM/TJAP1	
M	14676	126	2		TSFM	+
M	14676	126	3		TJAP1	+
M	14676	128	1		HIBADH/SUGCT	
M	14676	128	2		HIBADH	+
M	14676	128	3		SUGCT	+
M	14676	129	1		NLGN1/KASH5	
M	14676	129	2		NLGN1	+
M	14676	129	3		KASH5	+
M	14676	130	1		ZNF544/AP2A1	
M	14676	130	2		ZNF544	+
M	14676	130	3		AP2A1	+
M	14676	131	1		ZNF550/CXCL17	
M	14676	131	2		ZNF550	+
M	14676	131	3		CXCL17	+
M	14676	132	1		ZNF610/RALA	
M	14676	132	2		ZNF610	+
M	14676	132	3		RALA	+
M	14676	133	1		MTOR/CAMTA1	
M	14676	133	2		MTOR	+
M	14676	133	3		CAMTA1	+
M	14676	134	1		CTDSP2/MYG1	
M	14676	134	2		CTDSP2	+
M	14676	134	3		MYG1	+
M	14676	135	1		FRS2/DTX3	
M	14676	135	2		FRS2	+
M	14676	135	3		DTX3	+
M	14676	136	1		USP15/PCBP2	
M	14676	136	2		USP15	+
M	14676	136	3		PCBP2	+
M	14676	137	1		CLEC16A/TXNDC11	
M	14676	137	2		CLEC16A	+
M	14676	137	3		TXNDC11	+
M	14676	138	1		SRP68/AP1M2	
M	14676	138	2		SRP68	+
M	14676	138	3		AP1M2	+
M	14676	139	1		WDR62/FMNL2	
M	14676	139	2		WDR62	+
M	14676	139	3		FMNL2	+
M	14676	140	1		BMPR1A/LIPA	
M	14676	140	2		BMPR1A	+
M	14676	140	3		LIPA	+
M	14676	141	1		ADAM17/YWHAQ	
M	14676	141	2		ADAM17	+
M	14676	141	3		YWHAQ	+
M	14677	1	1		A2M/ALK	
M	14677	1	2		A2M	+
M	14677	1	3		ALK	+
M	14678	1	1		ARID1A/PRKD1	
M	14678	1	2		ARID1A	+
M	14678	1	3		PRKD1	+
M	14678	2	1		DDX3X/PRKD1	
M	14678	2	2		DDX3X	+
M	14678	2	3		PRKD1	+
M	14679	1	1		CSF2RA/CRLF2	
M	14679	1	2		CSF2RA	+
M	14679	1	3		CRLF2	+
M	14681	1	1		IGH/IRF8	
M	14681	1	2		IGH	+
M	14681	1	3		IRF8	+
M	14684	1	1		BCR/ABL1	
M	14684	1	2		BCR	+
M	14684	1	3		ABL1	+
M	14686	1	1		EWSR1/NFATC2	
M	14686	1	2		EWSR1	+
M	14686	1	3		NFATC2	+
M	14688	1	1		FGFR1	+
M	14691	1	1		CEP43/RET	
M	14691	1	2		CEP43	+
M	14691	1	3		RET	+
M	14692	1	1		CLDN18/ARHGAP26	
M	14692	1	2		CLDN18	+
M	14692	1	3		ARHGAP26	+
M	14692	2	1		CLDN18/ARHGAP6	
M	14692	2	2		CLDN18	+
M	14692	2	3		ARHGAP6	+
M	14697	1	1		CXCR4/MAML2	
M	14697	1	2		CXCR4	+
M	14697	1	3		MAML2	+
M	14700	1	1		RUNX1/USP42	
M	14700	1	2		RUNX1	+
M	14700	1	3		USP42	+
M	14700	1	4		PRDM16/SKI	
M	14700	1	5		PRDM16	+
M	14700	1	6		SKI	+
M	14702	1	1		CBFB/MYH11	
M	14702	1	2		CBFB	+
M	14702	1	3		MYH11	+
M	14706	1	1		STRN/ALK	
M	14706	1	2		STRN	+
M	14706	1	3		ALK	+
M	14707	1	1		EML4/ALK	
M	14707	1	2		EML4	+
M	14707	1	3		ALK	+
M	14707	2	1		SLC34A2/ROS1	
M	14707	2	2		SLC34A2	+
M	14707	2	3		ROS1	+
M	14708	1	1		KMT2B/GPS2	
M	14708	1	2		KMT2B	+
M	14708	1	3		GPS2	+
M	14709	1	1		ZFP36/FOSB	
