gene_name
AAK1
AATK
ABL1
ABL2
ACK
ACTR2
ACTR2B
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVRL1
ADCK1
ADCK2
ADCK3
ADCK4
ADCK5
ADRBK1
ADRBK2
AKT1
AKT2
AKT3
ALK
ALK1
ALK2
ALK4
ALK7
ALPK1
ALPK2
ALPK3
ALS2CR2
ALS2CR7
AMHR2
AMPKA1
AMPKA2
ANKK1
ANKRD3
ANPA
ANPB
ARAF
ARAFPS
ATM
ATR
AURKA
AURKB
AURKC
AXL
ALPHAK1
ALPHAK2
ALPHAK3
AURA
AURAPS1
AURAPS2
AURB
AURBPS1
AURC
BARK1
BARK2
BCKDK
BCR
BIKE
BLK
BMP2K
BMPR1A
BMPR1APS1
BMPR1APS2
BMPR1B
BMPR2
BMX
BRAF
BRAFPS
BRD2
BRD3
BRD4
BRDT
BRK
BRSK1
BRSK2
BTK
BUB1
BUB1B
BUBR1
C9ORF96
CABC1
CAMK1
CAMK1D
CAMK1G
CAMK2A
CAMK2B
CAMK2D
CAMK2G
CAMK4
CAMKK1
CAMKK2
CAMKV
CASK
CCK4
CCRK
CDC2
CDC2L2
CDC2L5
CDC2L6
CDC42BPA
CDC42BPB
CDC42BPG
CDC7
CDK10
CDK11
CDK2
CDK3
CDK4
CDK4PS
CDK5
CDK5PS
CDK6
CDK7
CDK7PS
CDK8
CDK8PS
CDK9
CDKL1
CDKL2
CDKL3
CDKL4
CDKL5
CGDPS
CHED
CHEK1
CHEK2
CHK1
CHK2
CHK2PS1
CHK2PS2
CHUK
CIT
CK1A
CK1A2
CK1APS1
CK1APS2
CK1APS3
CK1D
CK1E
CK1G1
CK1G2
CK1G2PS
CK1G3
CK2A1
CK2A1-RS
CK2A2
CLIK1
CLIK1L
CLK1
CLK2
CLK2PS
CLK3
CLK3PS
CLK4
COT
CRIK
CRK7
CRKRS
CSF1R
CSK
CSNK1A1
CSNK1A1L
CSNK1D
CSNK1E
CSNK1G1
CSNK1G2
CSNK1G3
CSNK2A1
CSNK2A2
CTK
CYGD
CYGF
CAMK1A
CAMK1B
CAMK1D
CAMK1G
CAMK2A
CAMK2B
CAMK2D
CAMK2G
CAMK4
CAMKK1
CAMKK2
CHAK1
CHAK2
DAPK1
DAPK2
DAPK3
DCAMKL1
DCAMKL2
DCAMKL3
DCLK1
DCLK2
DCLK3
DDR1
DDR2
DKFZP761P0423
DLK
DMPK
DMPK1
DMPK2
DNAPK
DRAK1
DRAK2
DYRK1A
DYRK1B
DYRK2
DYRK3
DYRK4
EEF2K
EGFR
EIF2AK1
EIF2AK2
EIF2AK3
EIF2AK4
EPHA1
EPHA10
EPHA2
EPHA3
EPHA4
EPHA5
EPHA6
EPHA7
EPHA8
EPHB1
EPHB2
EPHB3
EPHB4
EPHB6
ERBB2
ERBB3
ERBB4
ERN1
ERN2
EPHA1
EPHA10
EPHA2
EPHA3
EPHA4
EPHA5
EPHA6
EPHA7
EPHA8
EPHB1
EPHB2
EPHB3
EPHB4
EPHB6
ERBB2
ERBB3
ERBB4
ERK1
ERK2
ERK3
ERK3PS1
ERK3PS2
ERK3PS3
ERK3PS4
ERK4
ERK5
ERK7
FAK
FASTK
FER
FERPS
FES
FGFR1
FGFR2
FGFR3
FGFR4
FGR
FLJ23356
FLJ25006
FLJ40852
FLT1
FLT1PS
FLT3
FLT4
FMS
FRAP
FRAP1
FRK
FYN
FUSED
G11
GAK
GCK
GCN2
GPRK4
GPRK5
GPRK6
GPRK6PS
GPRK7
GRK1
GRK4
GRK5
GRK6
GRK7
GSG2
GSK3A
GSK3B
GUCY2C
GUCY2D
GUCY2F
H11
HCK
HGK
HH498
HIPK1
HIPK2
HIPK3
HIPK4
HPK1
HRI
HRIPS
HSER
HSPB8
HUNK
HASPIN
ICK
IGF1R
IKBKB
IKBKE
IKKA
IKKB
IKKE
ILK
INSR
INSRR
IRAK1
IRAK2
IRAK3
IRAK4
IRE1
IRE2
IRR
ITK
JAK1
JAK2
JAK3
JNK1
JNK2
JNK3
KALRN
KDR
KHS1
KHS2
KIAA0999
KIAA1804
KIAA2002
KIS
KIT
KSGCPS
KSR1
KSR2
LATS1
LATS2
LCK
LIMK1
LIMK2
LIMK2PS
LKB1
LMR1
LMR2
LMR3
LMTK2
LMTK3
LOC375449
LOC646643
LOC729871
LOC91461
